2022-09-24 18:30:18,386 | INFO | ulauncher: main() | Ulauncher version 5.15.0
2022-09-24 18:30:18,386 | INFO | ulauncher: main() | Extension API version 2.0.0
2022-09-24 18:30:18,386 | INFO | ulauncher: main() | GTK+ 3.24.34
2022-09-24 18:30:18,386 | INFO | ulauncher: main() | Is Wayland: False
2022-09-24 18:30:18,386 | INFO | ulauncher: main() | Wayland compatibility: off
2022-09-24 18:30:18,421 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'input-box'
2022-09-24 18:30:18,426 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','destroy', 'on_destroy'
2022-09-24 18:30:18,426 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_in_event', 'on_focus_in_event'
2022-09-24 18:30:18,426 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_out_event', 'on_focus_out_event'
2022-09-24 18:30:18,428 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'input','key_press_event', 'on_input_key_press_event'
2022-09-24 18:30:18,429 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_input_changed'
2022-09-24 18:30:18,429 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_about_activate'
2022-09-24 18:30:18,429 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_close_activate'
2022-09-24 18:30:18,429 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_preferences_activate'
2022-09-24 18:30:18,429 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_preferences_dialog_destroyed'
2022-09-24 18:30:18,431 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-09-24 18:30:18,431 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1366, H: 768
2022-09-24 18:30:18,488 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-09-24 18:30:18,492 | INFO | ulauncher.search.apps.app_watcher: start() | Started scanning desktop dirs
2022-09-24 18:30:18,492 | INFO | ulauncher.api.server.ExtensionServer: _start_thread() | Starting WS server on port 5054
2022-09-24 18:30:18,514 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.ulauncher.ulauncher-emoji" started. PID 1696
2022-09-24 18:30:18,521 | INFO | ulauncher.ui.windows.UlauncherWindow: bind_show_app_hotkey() | Trying to bind app hotkey: <Primary><Shift>space
2022-09-24 18:30:18,531 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 68 apps in cache
2022-09-24 18:30:18,533 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/shasherazi/.local/share/applications/userapp-Evolution-1L2YR1.desktop": constructor returned NULL
2022-09-24 18:30:18,534 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/kcm_trash.desktop": constructor returned NULL
2022-09-24 18:30:18,535 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.kded5.desktop": constructor returned NULL
2022-09-24 18:30:18,562 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/evolution-calendar.desktop": constructor returned NULL
2022-09-24 18:30:18,568 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 68 apps in the system
2022-09-24 18:30:18,569 | INFO | ulauncher.search.apps.app_watcher: start() | Scanned desktop dirs in 0.08 seconds
2022-09-24 18:30:18,593 | DEBUG | ulauncher.search.apps.app_watcher: start() | Start watching desktop files...
2022-09-24 18:30:18,994 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.ulauncher.ulauncher-emoji" connected
2022-09-24 18:30:18,995 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.ulauncher.ulauncher-emoji"
2022-09-25 14:05:07,072 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-09-25 14:05:07,073 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1366, H: 768
2022-09-25 14:05:07,100 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-09-25 14:05:07,691 | INFO | ulauncher.utils.image_loader: get_app_icon_pixbuf() | Could not load icon for hwloc. E: gtk-icon-theme-error-quark: Icon 'hwloc' not present in theme WhiteSur-dark (0)
2022-09-25 14:05:07,766 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2022-09-25 14:05:07,769 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2022-09-25 14:05:07,847 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event KeywordQueryEvent to "com.github.ulauncher.ulauncher-emoji"
2022-09-25 14:05:07,860 | DEBUG | ulauncher.api.server.ExtensionController: handleMessage() | Incoming response (KeywordQueryEvent, RenderResultListAction) from "com.github.ulauncher.ulauncher-emoji"
2022-09-25 14:05:07,868 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-09-25 14:05:08,173 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event KeywordQueryEvent to "com.github.ulauncher.ulauncher-emoji"
2022-09-25 14:05:08,272 | DEBUG | ulauncher.api.server.ExtensionController: handleMessage() | Incoming response (KeywordQueryEvent, RenderResultListAction) from "com.github.ulauncher.ulauncher-emoji"
2022-09-25 14:05:08,313 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 8 results
